Ready Processes,Processes in CPU,Blocked processes,Completed processes,Accounted For, Number of CPUs,Exiting at simulation time
160, 2, 0, 42,204, 2, 10000
181, 2, 0, 41,224, 2, 10000
163, 2, 0, 48,213, 2, 10000
165, 2, 0, 39,206, 2, 10000
171, 2, 0, 49,222, 2, 10000
214, 2, 0, 42,258, 2, 10000
149, 2, 0, 36,187, 2, 10000
180, 2, 0, 44,226, 2, 10000
163, 2, 0, 40,205, 2, 10000
200, 2, 0, 43,245, 2, 10000
204, 2, 0, 56,262, 2, 10000
193, 2, 0, 51,246, 2, 10000
177, 2, 0, 57,236, 2, 10000
208, 2, 0, 44,254, 2, 10000
181, 2, 0, 61,244, 2, 10000
186, 2, 0, 48,236, 2, 10000
173, 2, 0, 48,223, 2, 10000
174, 2, 0, 48,224, 2, 10000
188, 2, 0, 49,239, 2, 10000
197, 2, 0, 60,259, 2, 10000
194, 2, 0, 57,253, 2, 10000
186, 2, 0, 56,244, 2, 10000
193, 2, 0, 42,237, 2, 10000
196, 2, 0, 52,250, 2, 10000
183, 2, 0, 43,228, 2, 10000
170, 2, 0, 43,215, 2, 10000
170, 2, 0, 53,225, 2, 10000
177, 2, 0, 49,228, 2, 10000
159, 2, 0, 40,201, 2, 10000
177, 2, 0, 38,217, 2, 10000
182, 2, 0, 44,228, 2, 10000
187, 2, 0, 37,226, 2, 10000
163, 2, 0, 43,208, 2, 10000
172, 2, 0, 50,224, 2, 10000
168, 2, 0, 48,218, 2, 10000
157, 2, 0, 59,218, 2, 10000
151, 2, 0, 47,200, 2, 10000
188, 2, 0, 47,237, 2, 10000
191, 2, 0, 38,231, 2, 10000
175, 2, 0, 46,223, 2, 10000
190, 2, 0, 50,242, 2, 10000
186, 2, 0, 53,241, 2, 10000
182, 2, 0, 34,218, 2, 10000
166, 2, 0, 59,227, 2, 10000
173, 2, 0, 33,208, 2, 10000
152, 2, 0, 41,195, 2, 10000
196, 2, 0, 43,241, 2, 10000
149, 2, 0, 59,210, 2, 10000
168, 2, 0, 56,226, 2, 10000
156, 2, 0, 52,210, 2, 10000
167, 2, 0, 60,229, 2, 10000
168, 2, 0, 31,201, 2, 10000
159, 2, 0, 39,200, 2, 10000
172, 2, 0, 40,214, 2, 10000
152, 2, 0, 56,210, 2, 10000
162, 2, 0, 42,206, 2, 10000
187, 2, 0, 42,231, 2, 10000
190, 2, 0, 49,241, 2, 10000
172, 2, 0, 62,236, 2, 10000
165, 2, 0, 42,209, 2, 10000
170, 2, 0, 43,215, 2, 10000
183, 2, 0, 44,229, 2, 10000
176, 2, 0, 37,215, 2, 10000
160, 2, 0, 57,219, 2, 10000
175, 2, 0, 47,224, 2, 10000
167, 2, 0, 35,204, 2, 10000
166, 2, 0, 44,212, 2, 10000
152, 2, 0, 45,199, 2, 10000
169, 2, 0, 49,220, 2, 10000
159, 2, 0, 45,206, 2, 10000
175, 2, 0, 55,232, 2, 10000
141, 2, 0, 54,197, 2, 10000
160, 2, 0, 58,220, 2, 10000
183, 2, 0, 41,226, 2, 10000
161, 2, 0, 43,206, 2, 10000
157, 2, 0, 57,216, 2, 10000
170, 2, 0, 47,219, 2, 10000
157, 2, 0, 43,202, 2, 10000
159, 2, 0, 36,197, 2, 10000
160, 2, 0, 44,206, 2, 10000
175, 2, 0, 56,233, 2, 10000
164, 2, 0, 46,212, 2, 10000
179, 2, 0, 40,221, 2, 10000
158, 2, 0, 44,204, 2, 10000
163, 2, 0, 46,211, 2, 10000
166, 2, 0, 33,201, 2, 10000
167, 2, 0, 41,210, 2, 10000
143, 2, 0, 45,190, 2, 10000
152, 2, 0, 27,181, 2, 10000
155, 2, 0, 48,205, 2, 10000
152, 2, 0, 43,197, 2, 10000
152, 2, 0, 37,191, 2, 10000
148, 2, 0, 36,186, 2, 10000
152, 2, 0, 39,193, 2, 10000
145, 2, 0, 37,184, 2, 10000
165, 2, 0, 49,216, 2, 10000
168, 2, 0, 40,210, 2, 10000
150, 2, 0, 48,200, 2, 10000
157, 2, 0, 29,188, 2, 10000
154, 2, 0, 42,198, 2, 10000
141, 2, 0, 37,180, 2, 10000
144, 2, 0, 32,178, 2, 10000
152, 2, 0, 46,200, 2, 10000
151, 2, 0, 40,193, 2, 10000
146, 2, 0, 47,195, 2, 10000
183, 2, 0, 41,226, 2, 10000
142, 2, 0, 47,191, 2, 10000
140, 2, 0, 44,186, 2, 10000
160, 2, 0, 39,201, 2, 10000
156, 2, 0, 40,198, 2, 10000
155, 2, 0, 40,197, 2, 10000
137, 2, 0, 41,180, 2, 10000
148, 2, 0, 46,196, 2, 10000
150, 2, 0, 34,186, 2, 10000
155, 2, 0, 44,201, 2, 10000
139, 2, 0, 56,197, 2, 10000
143, 2, 0, 32,177, 2, 10000
145, 2, 0, 36,183, 2, 10000
157, 2, 0, 52,211, 2, 10000
143, 2, 0, 47,192, 2, 10000
135, 2, 0, 46,183, 2, 10000
145, 2, 0, 44,191, 2, 10000
107, 2, 0, 38,147, 2, 10000
158, 2, 0, 49,209, 2, 10000
148, 2, 0, 35,185, 2, 10000
152, 2, 0, 31,185, 2, 10000
132, 2, 0, 41,175, 2, 10000
155, 2, 0, 36,193, 2, 10000
155, 2, 0, 43,200, 2, 10000
164, 2, 0, 36,202, 2, 10000
171, 2, 0, 44,217, 2, 10000
147, 2, 0, 32,181, 2, 10000
154, 2, 0, 41,197, 2, 10000
148, 2, 0, 47,197, 2, 10000
138, 2, 0, 43,183, 2, 10000
146, 2, 0, 42,190, 2, 10000
146, 2, 0, 37,185, 2, 10000
157, 2, 0, 40,199, 2, 10000
160, 2, 0, 39,201, 2, 10000
154, 2, 0, 36,192, 2, 10000
159, 2, 0, 41,202, 2, 10000
124, 2, 0, 42,168, 2, 10000
157, 2, 0, 40,199, 2, 10000
117, 2, 0, 33,152, 2, 10000
145, 2, 0, 39,186, 2, 10000
125, 2, 0, 38,165, 2, 10000
135, 2, 0, 35,172, 2, 10000
150, 2, 0, 35,187, 2, 10000
139, 2, 0, 38,179, 2, 10000
121, 2, 0, 38,161, 2, 10000
130, 2, 0, 26,158, 2, 10000
134, 2, 0, 36,172, 2, 10000
132, 2, 0, 35,169, 2, 10000
138, 2, 0, 29,169, 2, 10000
116, 2, 0, 37,155, 2, 10000
156, 2, 0, 33,191, 2, 10000
147, 2, 0, 33,182, 2, 10000
131, 2, 0, 31,164, 2, 10000
141, 2, 0, 41,184, 2, 10000
128, 2, 0, 29,159, 2, 10000
142, 2, 0, 40,184, 2, 10000
137, 2, 0, 35,174, 2, 10000
135, 2, 0, 46,183, 2, 10000
133, 2, 0, 36,171, 2, 10000
125, 2, 0, 41,168, 2, 10000
128, 2, 0, 46,176, 2, 10000
141, 2, 0, 25,168, 2, 10000
140, 2, 0, 45,187, 2, 10000
126, 2, 0, 40,168, 2, 10000
119, 2, 0, 30,151, 2, 10000
149, 2, 0, 45,196, 2, 10000
141, 2, 0, 38,181, 2, 10000
138, 2, 0, 37,177, 2, 10000
111, 2, 0, 41,154, 2, 10000
134, 2, 0, 37,173, 2, 10000
157, 2, 0, 46,205, 2, 10000
127, 2, 0, 37,166, 2, 10000
137, 2, 0, 36,175, 2, 10000
119, 2, 0, 34,155, 2, 10000
114, 2, 0, 42,158, 2, 10000
133, 2, 0, 33,168, 2, 10000
117, 2, 0, 41,160, 2, 10000
127, 2, 0, 22,151, 2, 10000
139, 2, 0, 30,171, 2, 10000
133, 2, 0, 37,172, 2, 10000
123, 2, 0, 41,166, 2, 10000
108, 2, 0, 44,154, 2, 10000
135, 2, 0, 40,177, 2, 10000
123, 2, 0, 29,154, 2, 10000
126, 2, 0, 44,172, 2, 10000
130, 2, 0, 31,163, 2, 10000
148, 2, 0, 40,190, 2, 10000
137, 2, 0, 37,176, 2, 10000
118, 2, 0, 33,153, 2, 10000
127, 2, 0, 33,162, 2, 10000
122, 2, 0, 39,163, 2, 10000
146, 2, 0, 32,180, 2, 10000
142, 2, 0, 29,173, 2, 10000
132, 2, 0, 38,172, 2, 10000
135, 2, 0, 36,173, 2, 10000
148, 2, 0, 27,177, 2, 10000
136, 2, 0, 32,170, 2, 10000
140, 2, 0, 45,187, 2, 10000
131, 2, 0, 31,164, 2, 10000
154, 2, 0, 31,187, 2, 10000
147, 2, 0, 36,185, 2, 10000
121, 2, 0, 41,164, 2, 10000
129, 2, 0, 44,175, 2, 10000
133, 2, 0, 34,169, 2, 10000
105, 2, 0, 36,143, 2, 10000
118, 2, 0, 44,164, 2, 10000
115, 2, 0, 31,148, 2, 10000
99, 2, 0, 25,126, 2, 10000
132, 2, 0, 39,173, 2, 10000
111, 2, 0, 34,147, 2, 10000
123, 2, 0, 40,165, 2, 10000
109, 2, 0, 42,153, 2, 10000
112, 2, 0, 37,151, 2, 10000
128, 2, 0, 21,151, 2, 10000
127, 2, 0, 23,152, 2, 10000
106, 2, 0, 32,140, 2, 10000
134, 2, 0, 32,168, 2, 10000
107, 2, 0, 37,146, 2, 10000
138, 2, 0, 35,175, 2, 10000
116, 2, 0, 32,150, 2, 10000
118, 2, 0, 33,153, 2, 10000
114, 2, 0, 21,137, 2, 10000
123, 2, 0, 24,149, 2, 10000
112, 2, 0, 45,159, 2, 10000
135, 2, 0, 32,169, 2, 10000
127, 2, 0, 28,157, 2, 10000
119, 2, 0, 29,150, 2, 10000
127, 2, 0, 36,165, 2, 10000
90, 2, 0, 34,126, 2, 10000
118, 2, 0, 37,157, 2, 10000
137, 2, 0, 41,180, 2, 10000
136, 2, 0, 35,173, 2, 10000
118, 2, 0, 31,151, 2, 10000
127, 2, 0, 29,158, 2, 10000
131, 2, 0, 38,171, 2, 10000
135, 2, 0, 26,163, 2, 10000
113, 2, 0, 38,153, 2, 10000
125, 2, 0, 34,161, 2, 10000
112, 2, 0, 31,145, 2, 10000
117, 2, 0, 29,148, 2, 10000
102, 2, 0, 29,133, 2, 10000
127, 2, 0, 25,154, 2, 10000
99, 2, 0, 31,132, 2, 10000
142, 2, 0, 27,171, 2, 10000
123, 2, 0, 30,155, 2, 10000
122, 2, 0, 29,153, 2, 10000
110, 2, 0, 35,147, 2, 10000
130, 2, 0, 35,167, 2, 10000
118, 2, 0, 27,147, 2, 10000
127, 2, 0, 42,171, 2, 10000
114, 2, 0, 35,151, 2, 10000
112, 2, 0, 25,139, 2, 10000
110, 2, 0, 31,143, 2, 10000
117, 2, 0, 39,158, 2, 10000
108, 2, 0, 33,143, 2, 10000
126, 2, 0, 33,161, 2, 10000
142, 2, 0, 35,179, 2, 10000
130, 2, 0, 32,164, 2, 10000
119, 2, 0, 40,161, 2, 10000
104, 2, 0, 30,136, 2, 10000
104, 2, 0, 32,138, 2, 10000
115, 2, 0, 30,147, 2, 10000
112, 2, 0, 21,135, 2, 10000
114, 2, 0, 20,136, 2, 10000
122, 2, 0, 37,161, 2, 10000
